nombre,categoria_maps,telefono,telefono_norm,posible_celular,whatsapp_link,email,ciudad,calificacion,sitio_web,ecommerce,fuente,url_listing
Distribuidora Amazonas,Establecimiento de venta de madera,011 5705-6754,+541157056754,SI,https://wa.me/541157056754,,"Av. Diaz Velez 1139 Entre calles Rio Negro, Emilio Mitre y, B1704HLX Ramos Mejía, Provincia de Buenos Aires",,http://www.damazonas.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Amazonas/data=!4m7!3m6!1s0x95bcc86c20db1911:0x8d663967a06b717!8m2!3d-34.647566!4d-58.538964!16s%2Fg%2F11clsfyvvf!19sChIJERnbIGzIvJURF7cGepZj1gg?authuser=0&hl=es-419&rclk=1
Bella Distribuidora Mayorista,Mayorista,011 2543-8333,+541125438333,SI,https://wa.me/541125438333,,"C1419CTA Ciudad Autónoma de Buenos Aires AR, Helguera 3545 PB, C1419 CTA",,https://belladistribuidoramayorista.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Bella+Distribuidora+Mayorista/data=!4m7!3m6!1s0x95bcb71f222b2e49:0xec7595f684b284c8!8m2!3d-34.5961457!4d-58.4971034!16s%2Fg%2F11h2mx_n4m!19sChIJSS4rIh-3vJURyISyhPaVdew?authuser=0&hl=es-419&rclk=1
Distribuidora del Sur,Perfumería,011 5807-9701,+541158079701,SI,https://wa.me/541158079701,,"Av. 9 de Julio 1156, B1824 Lanús, Provincia de Buenos Aires",,https://www.mercadolibre.com.ar/pagina/distrisurpro,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+del+Sur/data=!4m7!3m6!1s0x95bccd2341c230dd:0xaac35fb5dd5d474!8m2!3d-34.7080763!4d-58.3897735!16s%2Fg%2F1v7pznzc!19sChIJ3TDCQSPNvJURdNTVXfs1rAo?authuser=0&hl=es-419&rclk=1
Mayorista Sevilla,Mayorista,,,,,,"Av. Eva Peron 1999, B1884 Sourigues, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Mayorista+Sevilla/data=!4m7!3m6!1s0x95a3298f786770db:0x7d12fe4d3bc29378!8m2!3d-34.7934711!4d-58.2251348!16s%2Fg%2F11h_sdzv2y!19sChIJ23BneI8po5UReJPCO03-En0?authuser=0&hl=es-419&rclk=1
La Firma Distribuidora,Tienda de comestibles mayorista,011 2556-2386,+541125562386,SI,https://wa.me/541125562386,,"Av. 21 1702, B1884ECF, B1884ECF Berazategui Oeste, Provincia de Buenos Aires",,https://www.owlgroup.com.ar/,,GoogleMaps,https://www.google.com/maps/place/La+Firma+Distribuidora/data=!4m7!3m6!1s0x95a329ba69460477:0x6c86a2be8d88dc6!8m2!3d-34.7847739!4d-58.2355888!16s%2Fg%2F11jr01gj8r!19sChIJdwRGabopo5URxo3Y6CtqyAY?authuser=0&hl=es-419&rclk=1
Distribuidora La Argentina,Panadería mayorista,011 4297-8464,+541142978464,SI,https://wa.me/541142978464,,"Av. Monteverde 2100, B1852 Burzaco, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+La+Argentina/data=!4m7!3m6!1s0x95a32b4dc990a9d3:0x41ca1198cf581c72!8m2!3d-34.8243786!4d-58.3672783!16s%2Fg%2F11c528zzj7!19sChIJ06mQyU0ro5URchxYz5gRykE?authuser=0&hl=es-419&rclk=1
Distribuidora BJ,Mayorista de artículos para la higiene,011 15-4030-5975,+54111540305975,NO,,,"Pedro León Gallo 2493, C1765 Isidro Casanova, Provincia de Buenos Aires",,,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+BJ/data=!4m7!3m6!1s0x95bcc704aae64085:0xdf86e9a143a6898c!8m2!3d-34.6870779!4d-58.5829891!16s%2Fg%2F11j7b303_f!19sChIJhUDmqgTHvJURjImmQ6Hpht8?authuser=0&hl=es-419&rclk=1
Distribuidora Papelera S.A.,Distribuidor de papel,011 3401-6546,+541134016546,SI,https://wa.me/541134016546,,"Barragán 932, B1702 Ciudadela, Provincia de Buenos Aires",,http://distribuidorapapelera.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Papelera+S.A./data=!4m7!3m6!1s0x95bcb8008b2d4f49:0x461a2d8b4ade0587!8m2!3d-34.6252093!4d-58.5345495!16s%2Fg%2F11d_ynn01z!19sChIJSU8tiwC4vJURhwXeSostGkY?authuser=0&hl=es-419&rclk=1
Distribuidora Sarmiento,Mayorista,,,,,,"Av. Eva Perón 4705, B1888 Santa Rosa, Provincia de Buenos Aires",,http://distribuidorasarmiento.com/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+Sarmiento/data=!4m7!3m6!1s0x95a3296c53215495:0xc00c3dc165b380fd!8m2!3d-34.8249036!4d-58.2776479!16s%2Fg%2F11r_v5zs0k!19sChIJlVQhU2wpo5UR_YCzZcE9DMA?authuser=0&hl=es-419&rclk=1
Distribuidora H,Tienda de repuestos para motos,011 2124-0436,+541121240436,SI,https://wa.me/541121240436,,"Rotarismo Argentino 2261, B1675AUG Villa Raffo, Provincia de Buenos Aires",,http://distribuidorah.com.ar/,,GoogleMaps,https://www.google.com/maps/place/Distribuidora+H/data=!4m7!3m6!1s0x95bcb7e4203234d5:0x48a6109cb3bdd339!8m2!3d-34.6133845!4d-58.5342885!16s%2Fg%2F11cjj2kspk!19sChIJ1TQyIOS3vJUROdO9s5wQpkg?authuser=0&hl=es-419&rclk=1
